id,displayable_name,type,name,state,country
2351708,"Accord, NY",Town,Accord,NY,US
2351910,"Adams Center, NY",Town,Adams Center,NY,US
2352490,"Akron, NY",Town,Akron,NY,US
2353035,"Alexandria Bay, NY",Town,Alexandria Bay,NY,US
2353076,"Alfred, NY",Town,Alfred,NY,US
2353082,"Alfred Station, NY",Town,Alfred Station,NY,US
2353868,"Altamont, NY",Town,Altamont,NY,US
2354083,"Amagansett, NY",Town,Amagansett,NY,US
2354240,"Amenia, NY",Town,Amenia,NY,US
2354524,"Ancram, NY",Town,Ancram,NY,US
2354729,"Angelica, NY",Town,Angelica,NY,US
2354774,"Angola, NY",Town,Angola,NY,US
2354871,"Annandale-on-Hudson, NY",Town,Annandale-on-Hudson,NY,US
2355318,"Appleton, NY",Town,Appleton,NY,US
2355505,"Arcade, NY",Town,Arcade,NY,US
2355783,"Argyle, NY",Town,Argyle,NY,US
2355866,"Arkville, NY",Town,Arkville,NY,US
2355868,"Arkwright, NY",Town,Arkwright,NY,US
2356022,"Amawalk, NY",Town,Amawalk,NY,US
2356055,"Armonk, NY",Town,Armonk,NY,US
2357110,"Atlantic Beach, NY",Town,Atlantic Beach,NY,US
2357171,"Attica, NY",Town,Attica,NY,US
2357740,"Averill Park, NY",Town,Averill Park,NY,US
2357840,"Avon, NY",Town,Avon,NY,US
2358399,"Baiting Hollow, NY",Town,Baiting Hollow,NY,US
2358662,"Baldwinsville, NY",Town,Baldwinsville,NY,US
2359246,"Barker, NY",Town,Barker,NY,US
2359624,"Barrytown, NY",Town,Barrytown,NY,US
2359707,"Barton, NY",Town,Barton,NY,US
2359974,"Bath, NY",Town,Bath,NY,US
2360388,"Bayport, NY",Town,Bayport,NY,US
2360471,"Bayville, NY",Town,Bayville,NY,US
2361170,"Bedford, NY",Town,Bedford,NY,US
2361190,"Bedford Hills, NY",Town,Bedford Hills,NY,US
2362078,"Bellport, NY",Town,Bellport,NY,US
2362234,"Belmont, NY",Town,Belmont,NY,US
2362428,"Bemus Point, NY",Town,Bemus Point,NY,US
2362981,"Berkshire, NY",Town,Berkshire,NY,US
2363015,"Berlin, NY",Town,Berlin,NY,US
2365606,"Bloomingburg, NY",Town,Bloomingburg,NY,US
2365855,"Blue Point, NY",Town,Blue Point,NY,US
2366317,"Bohemia, NY",Town,Bohemia,NY,US
2366439,"Bolivar, NY",Town,Bolivar,NY,US
2366903,"Boonville, NY",Town,Boonville,NY,US
2368656,"Brewerton, NY",Town,Brewerton,NY,US
2368728,"Briarcliff Manor, NY",Town,Briarcliff Manor,NY,US
2368888,"Bridgehampton, NY",Town,Bridgehampton,NY,US
2368917,"Bridgeport, NY",Town,Bridgeport,NY,US
2369629,"Brockport, NY",Town,Brockport,NY,US
2369745,"Bronxville, NY",Town,Bronxville,NY,US
2369865,"Brookhaven, NY",Town,Brookhaven,NY,US
2370811,"Brushton, NY",Town,Brushton,NY,US
2372059,"Burlington, NY",Town,Burlington,NY,US
